task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap
synthetic_expensive_signal,51966,38,"[1, 2, 5]","[0, 1, 5, 6, 7, 8, 9, 10, 17, 18, 19]",3,11,195.0,False,2.3230653912526557e-09,0.6212951333113974,0.708157770173274,0.6700060921960935
synthetic_expensive_signal,51966,39,"[0, 1, 2, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 17, 18, 19]",4,14,205.0,False,6.6454953571290355e-09,0.621386104739766,0.7074981958702888,0.6684137921704997
synthetic_expensive_signal,51966,40,"[3, 5]","[0, 1, 11, 12, 13, 17, 18, 19]",2,8,200.0,False,5.039711367432418e-10,0.6858683049284697,0.5595207610711487,0.4865752659566397
synthetic_expensive_signal,51966,41,"[0, 3, 5]","[0, 1, 2, 3, 4, 11, 12, 13, 17, 18, 19]",3,11,210.0,False,3.351368787862322e-09,0.6860200907315905,0.5592026134661793,0.4878180083953846
synthetic_expensive_signal,51966,42,"[1, 3, 5]","[0, 1, 5, 6, 7, 11, 12, 13, 17, 18, 19]",3,11,220.0,False,3.620439416245946e-09,0.6865248633740659,0.5578291469764338,0.4900993869190512
synthetic_expensive_signal,51966,43,"[0, 1, 3, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 17, 18, 19]",4,14,230.0,False,8.065898460718625e-09,0.686705064093038,0.5565099983704634,0.4902366337022626
synthetic_expensive_signal,51966,44,"[2, 3, 5]","[0, 1, 8, 9, 10, 11, 12, 13, 17, 18, 19]",3,11,235.0,False,1.0801587147358094e-09,0.625501837580451,0.7009024528404373,0.6609474214285344
synthetic_expensive_signal,51966,45,"[0, 2, 3, 5]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 17, 18, 19]",4,14,245.0,False,5.997084419490881e-09,0.6255827700592802,0.7007627782821582,0.6605430753815908
synthetic_expensive_signal,51966,46,"[1, 2, 3, 5]","[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",4,14,255.0,False,1.5524983377086144e-08,0.6256539785106933,0.7007938170728869,0.6602566517996492
synthetic_expensive_signal,51966,47,"[0, 1, 2, 3, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19]",5,17,265.0,False,1.5767402900020828e-08,0.6257635285419464,0.7010188483056701,0.6607892433318343
synthetic_expensive_signal,51966,48,"[4, 5]","[0, 1, 14, 15, 16, 17, 18, 19]",2,8,230.0,False,7.270603858821213e-10,0.5381950166223317,0.8032606249660513,0.7676749917719738
synthetic_expensive_signal,51966,49,"[0, 4, 5]","[0, 1, 2, 3, 4, 14, 15, 16, 17, 18, 19]",3,11,240.0,False,2.210027658504387e-09,0.5384508253020499,0.8036330904547959,0.7665102192846812
synthetic_expensive_signal,51966,50,"[1, 4, 5]","[0, 1, 5, 6, 7, 14, 15, 16, 17, 18, 19]",3,11,250.0,False,1.050618392182281e-09,0.5389800103216961,0.8021975463835929,0.7638069250269041
synthetic_expensive_signal,51966,51,"[0, 1, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 14, 15, 16, 17, 18, 19]",4,14,260.0,False,5.349644544076219e-09,0.5394004468866165,0.8022751433604146,0.7627938093557132
