task,seed,lambda,lambda_max_fraction,mask_id,selected_groups,cost,objective,kkt_residual,iterations,converged
synthetic_cheap_signal,51968,0.0332388551419802,0.23238300843231538,3,"[0, 1]",30.0,0.5558747205111276,8.786769575261274e-08,40,True
synthetic_cheap_signal,51968,0.028980239637260624,0.2026097241685818,3,"[0, 1]",30.0,0.5428560242844636,9.568508021865323e-08,43,True
synthetic_cheap_signal,51968,0.025267244790640433,0.17665104090269723,3,"[0, 1]",30.0,0.530642968023082,8.09622386748685e-08,47,True
synthetic_cheap_signal,51968,0.02202996480709898,0.15401822582830108,3,"[0, 1]",30.0,0.5192847090327088,8.68672047239198e-08,50,True
synthetic_cheap_signal,51968,0.019207450334347207,0.13428516337112248,3,"[0, 1]",30.0,0.5088002172863478,9.06115626025812e-08,53,True
synthetic_cheap_signal,51968,0.016746560949000306,0.1170803325686379,3,"[0, 1]",30.0,0.49918528390168265,9.16646177763378e-08,56,True
synthetic_cheap_signal,51968,0.014600964664064736,0.10207981232073073,3,"[0, 1]",30.0,0.4904182981813905,8.984261676045657e-08,59,True
synthetic_cheap_signal,51968,0.012730265621133,0.08900118281887143,11,"[0, 1, 3]",90.0,0.4824507780632617,8.610245541849123e-08,62,True
synthetic_cheap_signal,51968,0.011099243544055346,0.07759820833398522,11,"[0, 1, 3]",90.0,0.4752159650337787,9.40833219778705e-08,64,True
synthetic_cheap_signal,51968,0.009677190635028563,0.06765620125407824,11,"[0, 1, 3]",90.0,0.4686768746102022,9.828783496992903e-08,66,True
synthetic_cheap_signal,51968,0.008437333428622847,0.05898798008880854,11,"[0, 1, 3]",90.0,0.46279158020670697,9.869353444761113e-08,68,True
synthetic_cheap_signal,51968,0.0073563287187993305,0.05143034534100341,11,"[0, 1, 3]",90.0,0.4575145007359065,9.560920557927212e-08,70,True
synthetic_cheap_signal,51968,0.006413824068567672,0.04484100689517775,43,"[0, 1, 3, 5]",230.0,0.4527938678552303,8.979356818082748e-08,72,True
synthetic_cheap_signal,51968,0.005592074627852168,0.03909590507397029,59,"[0, 1, 3, 4, 5]",320.0,0.4485691823771626,9.388860609007666e-08,73,True
synthetic_cheap_signal,51968,0.00487560904526828,0.03408687492513176,59,"[0, 1, 3, 4, 5]",320.0,0.44479157084391285,9.464798179137307e-08,74,True
synthetic_cheap_signal,51968,0.00425093818381894,0.029719609763815633,59,"[0, 1, 3, 4, 5]",320.0,0.4414224838114765,9.329467355077986e-08,75,True
